,종목코드,종목명,종류
476,010280,쌍용정보통신,KOSDAQ
477,010420,한솔PNS,KOSPI
478,010470,오리콤,KOSDAQ
479,010580,지코,KOSPI
480,010600,와이비로드,KOSPI
481,010620,현대미포조선,KOSPI
482,010640,진양폴리,KOSPI
483,010660,화천기계,KOSPI
484,010690,화신,KOSPI
485,010770,평화홀딩스,KOSPI
486,010780,아이에스동서,KOSPI
487,010820,퍼스텍,KOSPI
488,010950,S-Oil,KOSPI
489,010955,S-Oil우,KOSPI
490,010960,삼호개발,KOSPI
491,011000,VGX인터,KOSPI
492,011040,경동제약,KOSDAQ
493,011070,LG이노텍,KOSPI
494,011080,형지I&C;,KOSDAQ
495,011090,에넥스,KOSPI
496,011150,CJ씨푸드,KOSPI
497,011155,CJ씨푸드1우,KOSPI
498,011160,두산건설,KOSPI
499,011170,롯데케미칼,KOSPI
500,011200,현대상선,KOSPI
501,011210,현대위아,KOSPI
502,011230,삼화전자,KOSPI
503,011280,태림포장,KOSPI
504,011300,성안,KOSPI
505,011320,유니크,KOSDAQ
506,011330,유니켐,KOSPI
507,011370,서한,KOSDAQ
508,011390,부산산업,KOSPI
509,011420,갤럭시아에스엠,KOSPI
510,011500,한농화성,KOSPI
511,011560,세보엠이씨,KOSDAQ
512,011690,유양디앤유,KOSPI
513,011700,한신기계,KOSPI
514,011760,현대상사,KOSPI
515,011780,금호석유,KOSPI
516,011785,금호석유우,KOSPI
517,011790,SKC,KOSPI
518,011930,신성이엔지,KOSPI
519,012030,DB,KOSPI
520,012160,영흥철강,KOSPI
521,012170,키위미디어그룹,KOSPI
522,012200,계양전기,KOSPI
523,012205,계양전기우,KOSPI
524,012280,영화금속,KOSPI
525,012320,경동인베스트,KOSPI
526,012330,현대모비스,KOSPI
527,012340,뉴인텍,KOSDAQ
528,012450,한화테크윈,KOSPI
529,012510,더존비즈온,KOSPI
530,012600,청호컴넷,KOSPI
531,012610,경인양행,KOSPI
532,012620,원일특강,KOSDAQ
533,012630,현대산업,KOSPI
534,012690,모나리자,KOSPI
535,012700,리드코프,KOSDAQ
536,012750,에스원,KOSPI
537,012790,신일제약,KOSDAQ
538,012800,대창,KOSPI
539,012860,서연전자,KOSDAQ
540,013000,세우글로벌,KOSPI
541,013030,하이록코리아,KOSDAQ
542,013120,동원개발,KOSDAQ
543,013310,아진산업,KOSDAQ
544,013360,일성건설,KOSPI
545,013367,일성건설2우B,KOSPI
546,013520,화승알앤에이,KOSPI
547,013570,디와이,KOSPI
548,013580,계룡건설,KOSPI
549,013700,까뮤이앤씨,KOSPI
550,013720,청보산업,KOSDAQ
551,013810,스페코,KOSDAQ
552,013870,지엠비코리아,KOSPI
553,013990,아가방컴퍼니,KOSDAQ
554,014100,보령메디앙스,KOSDAQ
555,014130,한익스프레스,KOSPI
556,014160,대영포장,KOSPI
557,014190,후너스,KOSDAQ
558,014200,광림,KOSDAQ
559,014280,금강공업,KOSPI
560,014285,금강공업우,KOSPI
561,014440,영보화학,KOSPI
562,014470,부방,KOSDAQ
563,014530,극동유화,KOSPI
564,014570,고려제약,KOSDAQ
565,014580,백광소재,KOSPI
566,014620,성광벤드,KOSDAQ
567,014680,한솔케미칼,KOSPI
568,014710,사조씨푸드,KOSPI
569,014790,한라건설,KOSPI
570,014820,동원시스템즈,KOSPI
571,014825,동원시스템즈우,KOSPI
572,014830,유니드,KOSPI
573,014910,성문전자,KOSPI
574,014915,성문전자우,KOSPI
575,014940,오리엔탈정공,KOSDAQ
576,014970,삼륭물산,KOSDAQ
577,014990,인디에프,KOSPI
578,015020,이스타코,KOSPI
579,015230,대창단조,KOSPI
580,015260,에이엔피,KOSPI
581,015350,부산가스,KOSPI
582,015360,예스코,KOSPI
583,015540,메디플란트,KOSPI
584,015590,대경기계,KOSPI
585,015710,코콤,KOSDAQ
586,015750,성우하이텍,KOSDAQ
587,015760,한국전력,KOSPI
588,015860,일진홀딩스,KOSPI
589,015890,태경산업,KOSPI
590,016090,대현,KOSPI
591,016100,리더스코스메틱,KOSDAQ
592,016170,로엔,KOSDAQ
